id,name,type,area,latitude,longitude,priceRange,summary,description,googleMapsLink,photoUrl,notionLink,recommendedDishes,tags
steak-1,Meat and Wine Co,牛排館,CBD,-33.8642,151.2023,$$$,景色最美的話要選Barangaroo靠窗邊的位子。,"很多分店，但是景色最美的話要選Barangaroo靠窗邊的位子。袋鼠肉的烤肉串蠻出名的味道也不錯，可以嘗試。牛排最喜歡Rib Eye但是個人認為不需要點到wagyu等級, oconnor mb3+就很不錯了，如果要嘗試的話可以試試看。強烈推薦把配菜換成mash potato 或者 sweet potato chips，真的好吃! 甜點一般，建議留下肚子去吃隔壁的冰淇淋。",https://maps.app.goo.gl/hfVxy39JgX7HYqHJ8,https://picsum.photos/seed/nsteak1/800/600,,Rib Eye | 袋鼠肉烤肉串 | Mash Potato,牛排館 | CBD | Rib Eye | 袋鼠肉烤肉串 | Mash Potato
steak-2,Gidley,牛排館,CBD,-33.866,151.207,$$$,入口隱蔽在地下室的神秘牛排館，袋鼠肉令人驚艷。,會沒收手機的神奇餐廳，入口頗隱蔽在一個地下室。牛排點rib eye 300gm那個中間部位的最好吃。除了牛排之外，最驚豔的居然是袋鼠肉，處理得很好! Medium Rare熟度剛好，很嫩也有足夠的咬勁。配菜烤南瓜很讚，甜點推薦buttermilk ice cream，有切碎的蜂巢，口感層次豐富。,https://maps.app.goo.gl/KiYB1M5cjGUUUh8z9,https://picsum.photos/seed/nsteak2/800/600,,Rib Eye 300gm | 袋鼠肉 | Buttermilk Ice Cream,牛排館 | CBD | Rib Eye 300gm | 袋鼠肉 | Buttermilk Ice Cream
steak-3,Rockpool Bar & Grill,牛排館,CBD,-33.8655,151.2105,$$$$,必點嫩滑的安格斯牛與絕配的松露牛骨髓義大利麵。,一定要點牛排，推薦安格斯牛medium rare，最能吃到很嫩的口感。豬排其實也很好吃，醬是微甜的! 肉份量都巨無霸。推薦松露牛骨髓義大利麵，骨髓的油脂感搭配松露香氣是絕配!!,https://maps.app.goo.gl/85pbeYwbFAziAJG16,https://picsum.photos/seed/nsteak3/800/600,,安格斯牛 Medium Rare | 松露牛骨髓義大利麵,牛排館 | CBD | 安格斯牛 Medium Rare | 松露牛骨髓義大利麵
fine-1,Aria Restaurant Sydney,精緻料理,CBD,-33.8587,151.214,$$$$,正對歌劇院的絕佳視野，創意調酒與季節菜單。,超近距離正對歌劇院的fine dining。Lamington口味的調酒超好喝，爆米花+玉米泥口味的前菜很特別。每季度都會換菜單。,https://maps.app.goo.gl/qAFiHk8rtCetQB9F6,https://picsum.photos/seed/nfine1/800/600,,Lamington 調酒 | 爆米花口味前菜,精緻料理 | CBD | Lamington 調酒 | 爆米花口味前菜
fine-2,Cafe Sydney,精緻料理,CBD,-33.8615,151.211,$$$$,坐擁雪梨港絕美景色，氛圍大於餐點。,主打一個美景，餐點就是還不錯沒什麼記憶點(但雪梨港的景真的是，絕!)。,https://maps.app.goo.gl/ab4F4dSWNLD7kDbGA,https://picsum.photos/seed/nfine2/800/600,,精緻料理,精緻料理 | CBD | 精緻料理
fine-3,Kuro Bar & Dining,精緻料理,CBD,-33.868,151.206,$$$$,每季驚艷的日式 Fine Dining，價格精緻值得慢品。,日料Fine Dining，每季有不同的菜單。每道菜都很驚豔，但價格也很精艷XD 需要慢慢品嘗!,https://maps.app.goo.gl/t4cqmd7emEyzKSDC6,https://picsum.photos/seed/nfine3/800/600,,每季菜單,精緻料理 | CBD | 每季菜單
thai-1,Mango Coco,泰餐,CBD,-33.8798,151.2055,$$,甜點才是本體的泰餐店，招牌鹹蛋黃球必吃。,主餐個人覺得還好，重點甜點好吃種類又很多，推薦下午茶的時段去不用排隊。甜點招牌流心鹹蛋黃球、泰奶Bingsu。,https://maps.app.goo.gl/mgbWHp9jcdgm9nDQ7,https://picsum.photos/seed/nthai1/800/600,,流心鹹蛋黃球 | 泰奶Bingsu,泰餐 | CBD | 流心鹹蛋黃球 | 泰奶Bingsu
thai-2,Chat Thai,泰餐,CBD,-33.8795,151.2052,$$,雪梨最有名的泰餐連鎖，CP值高且辣度十足。,雪梨最有名的泰餐連鎖，CP值很高基本上點什麼都不會雷。要注意辣度，有辣的菜是真的很辣。有些分店不能預約要現場排隊建議事先打電話問。,https://www.chatthai.com.au/,https://picsum.photos/seed/nthai2/800/600,,Pad Thai | Som Tum,泰餐 | CBD | Pad Thai | Som Tum
thai-3,Show Neua Thai Street Food,泰餐,CBD,-33.8805,151.205,$$,生醃蝦超級無敵好吃的人氣泰式小吃。,這家的生醃蝦超級無敵好吃!! 其他的泰式小吃也很棒，缺點是座位比較小一點，有點擁擠。,https://maps.app.goo.gl/p4Tci71CQkbkixX36,https://picsum.photos/seed/nthai3/800/600,,生醃蝦,泰餐 | CBD | 生醃蝦
thai-4,Thanon Khaosan,泰餐,CBD,-33.8795,151.206,$$,海鮮沙拉配生醃蝦，還有中藥味濃郁的台式感湯頭。,這家有生醃蝦+木瓜沙拉+生魚片的套餐。沙拉很辣，要跟店員說mild。有一種湯Guay Jub喝起來有台式牛肉麵的感覺，濃濃的中藥感，超愛。,https://maps.app.goo.gl/LXQAUUXh4a3S59vc6,https://picsum.photos/seed/nthai4/800/600,,生醃蝦套餐 | Guay Jub 湯,泰餐 | CBD | 生醃蝦套餐 | Guay Jub 湯
